Every 1st line: Acceleration
Every 2nd line: Gyro Measurement
Every 3rd line: Mag
Every 4th line: (Yaw, Pitch, Roll)
(106.532; -24.53; -129.99)
(-42.274; -4.848; -2.163)
(-17.9043; -25.7443; 8.81103)
(-0.133; -0.2313; -0.2559)
(123.884; 52.348; -126.366)
(-58.234; 29.125; -5.533)
(0.608514; -3.06897; -13.3254)
(0.3102; -0.267; -0.1152)
(-84.731; -58.912; -102.814)
(-26.896; 0.006; -3.827)
(-0.21838; 3.20653; 15.3245)
(-0.101; -0.3021; -0.0531)
(-65.915; 10.659; -92.36)
(-19.163; -3.016; 5.927)
(10.7923; 15.6578; 3.23314)
(-0.1252; 0.0229; -0.3877)
(-175.54; 38.893; -152.883)
(-15.85; 11.556; 13.14)
(-3.7246; 2.06364; -0.929963)
(0.3201; -0.0625; -0.3372)
(146.072; -28.14; -145.81)
(-13.185; 2.691; 19.07)
(-1.50084; -0.123858; 11.5762)
(0.2676; -0.2346; -0.2567)
(100.625; -14.031; -127.77)
(-14.472; -7.019; 5.4)
(11.7333; 11.0639; 8.91437)
(-0.1243; -0.2369; -0.2385)
(14.737; 34.843; -143.912)
(-25.044; 10.715; 12.466)
(-8.31705; 7.52432; 10.1853)
(0.0255; -0.2297; -0.3712)
(-70.75; -16.032; -143.268)
(-26.78; 6.011; 14.542)
(-2.2759; 1.71604; 9.83827)
(0.1731; -0.0022; -0.4496)
(-140.516; -20.415; -149.463)
(-24.569; -15.216; 6.397)
(1.32373; 2.35058; 12.6852)
(0.088; -0.1163; -0.4142)
(147.272; 18.533; -156.817)
(-11.798; -8.894; 13.465)
(1.88702; -1.01396; 8.92467)
(-0.0089; -0.2038; -0.3548)
(97.38; 23.607; -156.074)
(-17.599; -15.487; 1.452)
(-12.6519; -14.0551; -14.0845)
(-0.2933; -0.0453; -0.1394)
(-62.587; 77.912; -10.146)
(-42.454; 36.862; 12.287)
(3.33268; 0.370148; -8.88311)
(0.4206; -0.1309; -0.2016)
(-105.699; -75.132; -78.407)
(-39.412; -12.153; 4.195)
(-4.23787; -7.00213; 20.1423)
(-0.2287; -0.1006; -0.2324)
(-69.193; 46.663; -108.503)
(-35.737; 18.462; 6.751)
(0.816443; -10.412; -14.9176)
(0.221; -0.2697; 0.0762)
(74.485; -26.993; -83.417)
(-15.808; -4.829; 2.593)
(5.86234; -9.42225; 15.5707)
(0.1307; -0.3536; -0.0434)
(166.274; 14.274; -81.734)
(-57.569; 28.779; -2.044)
(2.8966; -5.97039; -16.6676)
(0.2485; -0.2309; -0.3431)
(-79.621; -46.084; -119.9)
(-23.049; -5.627; 0.31)
(2.31958; -2.49519; 16.277)
(-0.2021; -0.2142; -0.1357)
(-58.083; 28.882; -92.407)
(-12.84; -1.133; -15.895)
(-14.9576; -8.90683; -6.00513)
(-0.1744; -0.0624; 0.1672)
(48.68; 43.386; -50.407)
(-17.391; 3.106; -17.949)
(-2.23967; 13.3866; 14.6322)
(-0.1814; -0.2548; -0.0765)
(18.166; 37.124; -115.923)
(-20.386; 49.572; 35.563)
(-22.1669; 7.50603; -4.302)
(0.446; -0.0915; -0.0692)
(-178.977; -57.482; -41.175)
(-3.411; 0.426; -8.744)
(-0.247051; -7.25894; 4.4308)
(-0.0895; -0.0533; -0.3983)
(-132.352; 35.012; -142.778)
(-15.919; 3.953; 12.845)
(7.76918; 12.2513; 1.65068)
(0.0199; -0.2033; -0.3541)
(123.594; 21.459; -149.094)
(-25.076; -4.89; 17.562)
(6.57434; 14.3452; 0.232227)
(0.123; -0.3463; -0.1124)
(22.767; -18.505; -106.402)
(-28.855; 20.086; 13.393)
(-5.02791; 0.247686; 6.44444)
(0.2135; -0.3384; -0.0945)
(-38.653; -40.27; -87.454)
(-36.375; -15.601; 5.059)
(-5.70771; -12.1014; 16.9711)
(-0.2747; 0.0815; -0.0115)
(40.428; 76.204; -48.166)
(-85.703; 24.154; -3.743)
(0.559436; -1.34511; -25.3089)
(0.4351; 0.0668; 0.0079)
(152.22; -89.012; -118.768)
(4.136; -4.264; -1.83)
(1.59487; -7.87281; 8.89897)
(0.1428; -0.3289; -0.2366)
(-131.476; -0.209; -91.522)
(-25.159; 35.574; -2.642)
(-1.1961; -4.1982; -9.17766)
(0.1246; -0.2165; -0.3861)
(-24.543; -30.155; -145.796)
(-31.372; -4.511; -11.66)
(6.99358; 8.17055; 23.3307)
(-0.1071; 0.0014; -0.4131)
(-102.913; 24.224; -148.314)
(-41.206; 32.096; 14.677)
(0.400646; 6.33295; -13.6365)
(0.4235; -0.0679; 0.0679)
(117.772; -51.676; -61.214)
(-0.86; -6.347; 4.983)
(-2.68424; -13.6536; 12.798)
(0.1549; -0.375; -0.1087)
(-167.457; 8.045; -73.692)
